player_name,season,team,position,age,games_played,salary,salary_formatted,salary_rank,pg_points,pg_rebounds,pg_assists,pg_steals,pg_blocks,PER,TS_pct,usage_pct,WS,VORP,BPM,OBPM,DBPM,points_per_million,salary_per_WS,salary_per_VORP,value_score,value_category,season_year
Kyle Filipowski,2024-25,UTA,C,21.0,72.0,3000000,"$3,000,000",321,9.6,6.1,1.9,0.7,0.3,14.9,0.594,18.7,2.5,0.4,-1.0,-0.6,-0.3,3.2,1200000.0,7500000.0,13.33,Fair Value,2024
James Harden,2024-25,LAC,PG,35.0,79.0,33653846,"$33,653,846",44,22.8,5.8,8.7,1.5,0.7,20.0,0.582,29.6,8.3,4.4,4.3,3.5,0.8,0.68,4054680.0,7648601.0,13.07,Star - Excellent Value,2024
Luke Kennard,2024-25,MEM,SG,28.0,65.0,9250000,"$9,250,000",173,8.9,2.8,3.3,0.8,0.1,13.6,0.631,14.5,3.9,1.2,1.1,0.9,0.2,0.96,2371795.0,7708333.0,12.97,Fair Value,2024
Aaron Wiggins,2024-25,OKC,SG,26.0,76.0,10981303,"$10,981,303",156,12.0,3.9,1.8,0.8,0.2,16.1,0.596,20.3,5.4,1.4,1.1,1.3,-0.2,1.09,2033575.0,7843788.0,12.75,Fair Value,2024
Paul Reed,2024-25,DET,C,25.0,45.0,4015938,"$4,015,938",272,4.1,2.7,1.0,0.9,0.6,18.6,0.573,18.0,1.6,0.5,2.9,-1.2,4.0,1.02,2509961.0,8031876.0,12.45,Fair Value,2024
Jalen Brunson,2024-25,NYK,PG,28.0,65.0,24960001,"$24,960,001",66,26.0,2.9,7.3,0.9,0.1,21.6,0.605,29.5,8.3,3.1,3.3,4.7,-1.3,1.04,3007229.0,8051613.0,12.42,Good Value,2024
Bol Bol,2024-25,PHO,PF,25.0,36.0,2425403,"$2,425,403",359,6.8,2.9,0.6,0.3,0.7,18.4,0.627,21.1,0.9,0.3,0.8,1.7,-0.9,2.8,2694892.0,8084677.0,12.37,Fair Value,2024
Cam Thomas,2024-25,BRK,SG,23.0,25.0,4041249,"$4,041,249",269,24.0,3.3,3.8,0.6,0.1,18.0,0.575,32.6,1.2,0.5,0.3,2.8,-2.6,5.94,3367708.0,8082498.0,12.37,Fair Value,2024
Zach Edey,2024-25,MEM,C,22.0,66.0,5756880,"$5,756,880",228,9.2,8.3,1.0,0.5,1.3,18.2,0.624,16.4,4.9,0.7,-0.1,-0.2,0.1,1.6,1174873.0,8224114.0,12.16,Fair Value,2024
Onyeka Okongwu,2024-25,ATL,C,24.0,74.0,14000000,"$14,000,000",116,13.4,8.9,2.3,0.9,0.9,19.0,0.634,17.3,7.2,1.7,1.3,1.2,0.2,0.96,1944444.0,8235294.0,12.14,Fair Value,2024
Tyler Herro,2024-25,MIA,SG,25.0,77.0,29000000,"$29,000,000",55,23.9,5.2,5.5,0.9,0.2,19.7,0.605,28.0,7.4,3.5,3.1,3.8,-0.7,0.82,3918919.0,8285714.0,12.07,Good Value,2024
Brice Sensabaugh,2024-25,UTA,SF,21.0,71.0,2571030,"$2,571,030",346,10.9,3.0,1.5,0.6,0.1,13.4,0.612,21.5,1.2,0.3,-1.2,0.4,-1.6,4.24,2142525.0,8570100.0,11.67,Fair Value,2024
Quentin Grimes,2024-25,DAL,SG,24.0,47.0,4296682,"$4,296,682",264,10.2,3.8,2.1,0.7,0.2,13.3,0.599,18.5,1.7,0.5,-0.3,0.1,-0.4,2.37,2527460.0,8593364.0,11.64,Fair Value,2024
Tyrese Haliburton,2024-25,IND,PG,24.0,73.0,42176400,"$42,176,400",21,18.6,3.5,9.2,1.4,0.7,21.8,0.616,21.6,10.4,4.9,5.8,5.7,0.2,0.44,4055423.0,8607429.0,11.62,Star - Excellent Value,2024
Ochai Agbaji,2024-25,TOR,SG,24.0,64.0,4310280,"$4,310,280",262,10.4,3.8,1.5,0.9,0.5,12.0,0.601,14.6,3.1,0.5,-0.7,-0.9,0.2,2.41,1390413.0,8620560.0,11.6,Fair Value,2024
Dean Wade,2024-25,CLE,PF,28.0,59.0,6166667,"$6,166,667",219,5.4,4.2,1.3,0.7,0.3,10.1,0.563,10.4,3.0,0.7,0.3,-1.0,1.2,0.88,2055556.0,8809524.0,11.35,Fair Value,2024
Domantas Sabonis,2024-25,SAC,C,28.0,70.0,39200000,"$39,200,000",27,19.1,13.9,6.0,0.7,0.4,22.9,0.655,21.6,10.1,4.4,5.2,4.2,1.1,0.49,3881188.0,8909091.0,11.22,Star - Excellent Value,2024
Anthony Edwards,2024-25,MIN,SG,23.0,79.0,42176400,"$42,176,400",21,27.6,5.7,4.5,1.2,0.6,20.1,0.595,31.4,8.4,4.6,4.3,4.4,0.0,0.65,5021000.0,9168783.0,10.91,Star - Excellent Value,2024
Marcus Sasser,2024-25,DET,PG,24.0,57.0,2755229,"$2,755,229",337,6.6,1.2,2.3,0.6,0.1,14.0,0.589,19.4,1.8,0.3,-0.6,-0.4,-0.2,2.4,1530683.0,9184097.0,10.89,Fair Value,2024
Obi Toppin,2024-25,IND,PF,26.0,79.0,12975000,"$12,975,000",125,10.5,4.0,1.6,0.6,0.4,17.4,0.642,20.1,4.3,1.4,1.7,1.8,-0.1,0.81,3017442.0,9267857.0,10.79,Fair Value,2024
