season,team,roster_count,total_payroll,avg_salary,max_salary,min_salary,avg_ppg,avg_rpg,avg_apg,avg_spg,avg_bpg,avg_fg_pct,avg_3pt_pct,avg_ts_pct,avg_efg_pct,avg_PER,total_WS,avg_WS,total_VORP,avg_VORP,avg_BPM,avg_OBPM,avg_DBPM,team_total_points,team_total_rebounds,team_total_assists,payroll_per_WS,payroll_per_VORP,season_year
2022-23,PHI,15,138370936.0,10643918.0,37633050,1782621,9.98,3.51,2.18,0.69,0.4,0.483,0.342,0.59,0.555,14.8,53.1,3.54,15.1,1.01,-0.04,-0.5,0.47,9369.0,3317.0,2040.0,2605856.0,9163638.0,2022
2022-23,MIL,18,192521824.0,11324813.0,42492492,758395,9.28,3.97,2.14,0.53,0.37,0.44,0.336,0.56,0.533,12.88,50.1,2.78,14.0,0.78,-0.78,-1.18,0.39,9457.0,3935.0,2088.0,3842751.0,13751559.0,2022
2022-23,NYK,16,156678628.0,9792414.0,27733332,1563518,9.61,3.93,1.95,0.61,0.37,0.471,0.337,0.574,0.551,13.43,50.7,3.17,13.6,0.85,-0.17,-0.56,0.4,9511.0,3819.0,1880.0,3090308.0,11520487.0,2022
2022-23,MEM,17,119340448.0,9180034.0,28946605,1200000,9.79,4.04,2.15,0.69,0.48,0.475,0.292,0.56,0.541,14.26,50.6,2.98,13.6,0.8,-0.35,-0.83,0.47,9575.0,3815.0,2126.0,2358507.0,8775033.0,2022
2022-23,DEN,18,145004313.0,9666954.0,33047803,1902133,9.01,3.46,2.22,0.58,0.37,0.486,0.389,0.571,0.549,13.47,49.3,2.74,13.4,0.74,-1.55,-1.28,-0.26,9495.0,3527.0,2368.0,2941264.0,10821217.0,2022
2022-23,SAC,17,137250311.0,8578144.0,30351780,784654,8.19,3.01,1.89,0.53,0.26,0.47,0.341,0.578,0.55,13.24,48.1,2.83,12.2,0.72,-1.28,-1.13,-0.14,9884.0,3468.0,2235.0,2853437.0,11250025.0,2022
2022-23,NOP,16,138344403.0,11528700.0,33333333,1563518,10.62,3.91,2.39,0.79,0.38,0.476,0.343,0.578,0.541,14.73,46.1,2.88,12.0,0.75,0.2,-0.52,0.72,9374.0,3582.0,2122.0,3000963.0,11528700.0,2022
2022-23,GSW,15,195082210.0,13934444.0,48070014,694878,10.74,3.91,2.53,0.61,0.35,0.486,0.357,0.597,0.57,13.38,45.0,3.0,11.9,0.79,-1.14,-0.85,-0.29,9686.0,3607.0,2417.0,4335160.0,16393463.0,2022
2022-23,TOR,16,158160461.0,11297176.0,35448672,1500000,9.59,3.89,2.04,0.86,0.48,0.468,0.307,0.546,0.519,14.04,44.7,2.79,11.7,0.73,-0.71,-1.07,0.38,9175.0,3494.0,1945.0,3538265.0,13517988.0,2022
2022-23,CHI,14,138328619.0,10640663.0,37096500,1563518,9.51,3.76,2.19,0.73,0.44,0.486,0.339,0.584,0.554,14.95,45.9,3.28,11.6,0.83,0.31,-0.49,0.81,9225.0,3455.0,2000.0,3013695.0,11924881.0,2022
2022-23,BRK,21,226103474.0,13300204.0,44119845,122836,10.65,3.53,2.44,0.69,0.49,0.462,0.319,0.565,0.534,14.06,43.3,2.06,11.4,0.54,-0.94,-0.79,-0.17,9276.0,3303.0,2083.0,5221789.0,19833638.0,2022
2022-23,PHO,18,170757001.0,10672313.0,33833400,855057,10.06,3.71,2.45,0.66,0.4,0.448,0.362,0.552,0.522,14.0,45.1,2.51,11.3,0.63,-0.28,-0.54,0.26,9083.0,3561.0,2201.0,3786186.0,15111239.0,2022
2022-23,LAL,19,215876242.0,13492265.0,46295265,442439,10.7,4.16,2.28,0.58,0.41,0.474,0.321,0.575,0.542,13.37,42.0,2.21,11.3,0.59,-0.81,-0.95,0.14,9544.0,3684.0,2056.0,5139911.0,19104092.0,2022
2022-23,OKC,17,97027086.0,5390394.0,30913750,52644,9.36,3.87,1.91,0.69,0.38,0.455,0.357,0.564,0.537,13.63,45.9,2.55,10.4,0.58,-0.73,-0.73,-0.0,9848.0,3785.0,2066.0,2113880.0,9329528.0,2022
2022-23,LAC,20,301422970.0,16745721.0,46295265,508891,10.14,3.74,2.38,0.64,0.37,0.483,0.357,0.579,0.551,14.69,42.6,2.13,10.3,0.51,-0.48,-0.39,-0.12,9307.0,3542.0,1954.0,7075657.0,29264366.0,2022
2022-23,ATL,17,134084850.0,8938990.0,37096500,260295,9.26,3.63,1.96,0.59,0.36,0.471,0.283,0.557,0.531,13.12,42.6,2.51,10.1,0.59,-1.19,-1.01,-0.18,9637.0,3611.0,2045.0,3147532.0,13275728.0,2022
2022-23,MIA,16,174737290.0,11649153.0,37653300,35096,10.07,4.09,2.17,0.74,0.29,0.463,0.273,0.569,0.531,13.66,41.4,2.59,10.0,0.62,-0.99,-1.22,0.24,8884.0,3281.0,1944.0,4220707.0,17473729.0,2022
2022-23,DAL,18,207466109.0,12966632.0,38917057,1017781,10.09,3.33,2.08,0.57,0.35,0.471,0.344,0.585,0.563,13.72,41.5,2.31,9.7,0.54,-1.31,-0.7,-0.63,9237.0,3149.0,1846.0,4999183.0,21388259.0,2022
2022-23,MIN,19,174370433.0,10257084.0,38172414,442439,9.46,3.31,2.23,0.63,0.42,0.477,0.329,0.583,0.551,14.03,41.0,2.16,9.5,0.5,-0.93,-0.88,-0.04,9492.0,3434.0,2145.0,4252937.0,18354782.0,2022
2022-23,WAS,17,154303248.0,9643953.0,43279250,140384,9.78,3.77,2.2,0.61,0.44,0.479,0.312,0.563,0.533,14.01,37.5,2.21,8.9,0.52,-1.36,-1.23,-0.14,9157.0,3526.0,2045.0,4114753.0,17337444.0,2022
2022-23,UTA,19,142522232.0,7917902.0,22680000,1000001,9.53,3.78,2.31,0.54,0.41,0.477,0.34,0.564,0.541,12.59,38.0,2.0,8.3,0.44,-1.79,-1.38,-0.41,9485.0,3708.0,2106.0,3750585.0,17171353.0,2022
2022-23,ORL,18,109786203.0,7319080.0,17400000,877940,9.29,3.91,1.91,0.69,0.43,0.46,0.336,0.568,0.534,13.75,36.6,2.03,7.4,0.41,-0.59,-0.94,0.37,9106.0,3535.0,1898.0,2999623.0,14835973.0,2022
2022-23,IND,16,103122183.0,6874812.0,35096500,1563518,9.88,3.62,2.32,0.66,0.52,0.475,0.336,0.575,0.545,13.85,33.5,2.09,6.9,0.43,-1.38,-0.86,-0.52,9432.0,3356.0,2190.0,3078274.0,14945244.0,2022
2022-23,POR,18,157500484.0,9843780.0,42492492,1017781,9.87,3.71,2.12,0.73,0.41,0.464,0.344,0.56,0.532,12.43,31.7,1.76,6.0,0.33,-2.33,-1.67,-0.67,9063.0,3240.0,1866.0,4968470.0,26250081.0,2022
2022-23,CHO,16,90865023.0,6989617.0,30075000,1461055,11.21,4.39,2.62,0.79,0.48,0.47,0.363,0.556,0.524,13.23,27.9,1.74,3.1,0.19,-1.83,-1.67,-0.15,9041.0,3619.0,2041.0,3256811.0,29311298.0,2022
2022-23,DET,20,118338405.0,6961083.0,19550000,555402,10.51,4.02,1.92,0.62,0.34,0.442,0.315,0.546,0.509,12.34,26.0,1.24,2.4,0.11,-2.36,-1.52,-0.82,10312.0,3702.0,2036.0,4551477.0,49307669.0,2022
2022-23,HOU,16,62281755.0,4790904.0,19568360,1563518,9.04,3.74,1.97,0.61,0.39,0.455,0.271,0.546,0.511,13.64,23.9,1.49,0.8,0.05,-1.86,-1.14,-0.71,9057.0,3789.0,1831.0,2605931.0,77852194.0,2022
2022-23,SAS,20,83245297.0,4624739.0,13750000,758395,9.99,4.06,2.38,0.62,0.38,0.469,0.312,0.556,0.531,13.23,19.1,0.95,-1.0,-0.05,-2.41,-1.35,-1.05,9206.0,3549.0,2202.0,4358393.0,,2022
