player_name,season,team,position,age,games_played,games_started,games_started_percentage,awards,salary,salary_formatted,salary_rank,mpg,ppg,rpg,apg,spg,bpg,tov_pg,pf_pg,fg_pct,three_pt_pct,ft_pct,efg_pct,three_pm_pg,three_pa_pg,total_points,total_rebounds,total_assists,total_steals,total_blocks,PER,TS_pct,usage_pct,ORB_pct,DRB_pct,TRB_pct,AST_pct,STL_pct,BLK_pct,TOV_pct,OWS,DWS,WS,WS_per_48,OBPM,DBPM,BPM,VORP,points_per_million,salary_per_win_share,salary_per_vorp,salary_tier,scoring_tier,impact_tier,is_mvp_candidate,is_allstar,is_all_nba_first,is_dpoy_candidate,season_year
Lauri Markkanen,2024-25,UTA,PF,27.0,47.0,47.0,100.0,,42176400.0,"$42,176,400",21.0,31.4,19.0,5.9,1.5,0.7,0.4,1.4,1.7,0.423,0.346,0.876,0.521,2.9,8.5,892.0,278.0,70.0,33.0,17.0,15.6,0.571,24.0,5.3,14.9,10.1,7.5,1.1,1.1,7.8,1.8,0.3,2.2,0.07,1.8,-2.1,-0.3,0.7,0.45,19171091.0,60252000.0,Top 30 (Max),Starter (15-20 PPG),Average (0-2 VORP),0,0,0,0,2024
Kyrie Irving,2024-25,DAL,SG,32.0,50.0,50.0,100.0,"CPOY-10,AS",40000000.0,"$40,000,000",25.0,36.1,24.7,4.8,4.6,1.3,0.5,2.2,2.0,0.473,0.401,0.916,0.549,2.9,7.2,1234.0,240.0,231.0,66.0,23.0,19.9,0.594,27.4,3.7,10.6,7.2,20.5,1.8,1.1,9.7,3.4,1.3,4.6,0.124,3.9,-0.5,3.4,2.5,0.62,8695652.0,16000000.0,Top 30 (Max),All-Star (20-25 PPG),Above Average (2-4 VORP),0,1,0,0,2024
Ben Simmons,2024-25,BRK,PG,28.0,33.0,24.0,72.7,,39256083.0,"$39,256,083",26.0,25.0,6.2,5.2,6.9,0.8,0.5,2.7,2.5,0.547,,0.692,0.547,0.0,0.0,204.0,172.0,229.0,26.0,16.0,12.6,0.562,14.3,3.9,20.5,11.8,41.6,1.6,1.9,32.7,0.3,0.9,1.1,0.065,-2.4,1.4,-1.0,0.2,0.16,35687348.0,196280415.0,Top 30 (Max),Bench Player (<10 PPG),Average (0-2 VORP),0,0,0,0,2024
Ben Simmons,2024-25,LAC,PG,28.0,18.0,0.0,0.0,,39256083.0,"$39,256,083",26.0,16.4,2.9,3.8,3.1,0.7,0.4,0.8,1.4,0.434,,0.857,0.434,0.0,0.0,52.0,69.0,56.0,12.0,7.0,11.9,0.464,10.4,6.6,19.7,13.2,24.3,2.0,2.4,20.0,0.2,0.5,0.7,0.116,-1.9,2.7,0.9,0.2,0.07,56080119.0,196280415.0,Top 30 (Max),Bench Player (<10 PPG),Average (0-2 VORP),0,0,0,0,2024
Ben Simmons,2024-25,2TM,PG,28.0,51.0,24.0,47.1,,39256083.0,"$39,256,083",26.0,22.0,5.0,4.7,5.6,0.7,0.5,2.0,2.1,0.52,,0.727,0.52,0.0,0.0,256.0,241.0,285.0,38.0,23.0,12.4,0.539,13.2,4.6,20.3,12.2,37.0,1.7,2.0,30.0,0.5,1.3,1.8,0.078,-2.3,1.8,-0.5,0.4,0.13,21808935.0,98140208.0,Top 30 (Max),Bench Player (<10 PPG),Average (0-2 VORP),0,0,0,0,2024
Domantas Sabonis,2024-25,SAC,C,28.0,70.0,70.0,100.0,,39200000.0,"$39,200,000",27.0,34.7,19.1,13.9,6.0,0.7,0.4,2.9,3.3,0.59,0.417,0.754,0.627,0.9,2.2,1337.0,972.0,423.0,48.0,26.0,22.9,0.655,21.6,12.3,32.6,22.4,26.0,1.0,1.0,16.5,7.4,2.7,10.1,0.199,4.2,1.1,5.2,4.4,0.49,3881188.0,8909091.0,Top 30 (Max),Starter (15-20 PPG),Star (4-6 VORP),0,0,0,0,2024
Darius Garland,2024-25,CLE,PG,25.0,75.0,75.0,100.0,"CPOY-6,AS",36725670.0,"$36,725,670",28.0,30.7,20.6,2.9,6.7,1.2,0.1,2.5,1.9,0.472,0.401,0.878,0.562,2.8,7.1,1544.0,214.0,506.0,91.0,11.0,19.9,0.6,27.2,2.3,7.6,5.0,32.2,1.9,0.4,12.8,5.8,2.3,8.1,0.169,3.9,-0.8,3.1,3.0,0.56,4534033.0,12241890.0,Top 30 (Max),All-Star (20-25 PPG),Above Average (2-4 VORP),0,1,0,0,2024
Ja Morant,2024-25,MEM,PG,25.0,50.0,50.0,100.0,,36725670.0,"$36,725,670",28.0,30.4,23.2,4.1,7.3,1.2,0.2,3.7,2.3,0.454,0.309,0.824,0.504,1.8,5.7,1159.0,205.0,364.0,61.0,12.0,19.3,0.563,32.2,2.4,11.8,7.1,36.0,1.9,0.7,15.2,2.0,1.5,3.5,0.112,3.1,-0.7,2.4,1.7,0.63,10493049.0,21603335.0,Top 30 (Max),All-Star (20-25 PPG),Average (0-2 VORP),0,0,0,0,2024
Zion Williamson,2024-25,NOP,PF,24.0,30.0,30.0,100.0,,36725670.0,"$36,725,670",28.0,28.6,24.6,7.2,5.3,1.2,0.9,3.0,2.7,0.567,0.231,0.656,0.57,0.1,0.4,737.0,216.0,159.0,37.0,27.0,27.3,0.6,34.7,9.3,18.2,13.6,36.6,2.1,3.0,12.8,1.9,0.6,2.5,0.141,5.9,1.0,7.0,1.9,0.67,14690268.0,19329300.0,Top 30 (Max),All-Star (20-25 PPG),Average (0-2 VORP),0,0,0,0,2024
OG Anunoby,2024-25,NYK,PF,27.0,74.0,74.0,100.0,,36637932.0,"$36,637,932",31.0,36.6,18.0,4.8,2.2,1.5,0.9,1.4,2.3,0.476,0.372,0.81,0.559,2.3,6.2,1332.0,358.0,164.0,110.0,65.0,15.4,0.591,19.7,4.2,11.0,7.6,8.5,2.0,2.2,8.3,3.7,2.8,6.5,0.116,0.7,0.1,0.7,1.9,0.49,5636605.0,19283122.0,Top 50,Starter (15-20 PPG),Average (0-2 VORP),0,0,0,0,2024
Jamal Murray,2024-25,DEN,PG,27.0,67.0,67.0,100.0,,36016200.0,"$36,016,200",32.0,36.1,21.4,3.9,6.0,1.4,0.5,2.1,1.9,0.474,0.393,0.886,0.543,2.3,5.9,1436.0,261.0,403.0,91.0,33.0,17.8,0.584,24.0,2.2,9.3,5.9,23.2,1.8,1.2,10.1,4.6,1.6,6.2,0.123,1.8,-1.0,0.8,1.7,0.59,5809065.0,21186000.0,Top 50,All-Star (20-25 PPG),Average (0-2 VORP),0,0,0,0,2024
Brandon Ingram,2024-25,NOP,SF,27.0,18.0,18.0,100.0,,36016200.0,"$36,016,200",32.0,33.1,22.2,5.6,5.2,0.9,0.6,3.8,2.5,0.465,0.374,0.855,0.53,2.4,6.4,400.0,100.0,93.0,16.0,11.0,16.0,0.56,30.2,3.0,15.5,9.1,26.8,1.3,1.8,16.2,-0.2,0.2,0.0,0.001,1.4,-1.7,-0.3,0.3,0.62,,120054000.0,Top 50,All-Star (20-25 PPG),Average (0-2 VORP),0,0,0,0,2024
Shai Gilgeous-Alexander,2024-25,OKC,PG,26.0,76.0,76.0,100.0,"MVP-1,DPOY-10,CPOY-8,AS,NBA1",35859950.0,"$35,859,950",34.0,34.2,32.7,5.0,6.4,1.7,1.0,2.4,2.2,0.519,0.375,0.898,0.569,2.1,5.7,2484.0,379.0,486.0,131.0,77.0,30.7,0.637,34.8,2.8,12.6,7.8,31.3,2.4,3.0,8.6,11.9,4.8,16.7,0.309,8.9,2.6,11.5,8.9,0.91,2147302.0,4029208.0,Top 50,Elite Scorer (25+ PPG),Superstar (6+ VORP),1,1,1,1,2024
Donovan Mitchell,2024-25,CLE,SG,28.0,71.0,71.0,100.0,"MVP-5,CPOY-9,AS,NBA1",35410310.0,"$35,410,310",36.0,31.4,24.0,4.5,5.0,1.3,0.2,2.1,2.0,0.443,0.368,0.823,0.531,3.3,8.9,1701.0,322.0,354.0,95.0,17.0,20.9,0.575,30.9,2.8,12.5,7.8,23.9,2.0,0.7,9.2,4.8,2.8,7.6,0.163,3.8,-0.2,3.7,3.2,0.68,4659251.0,11065722.0,Top 50,All-Star (20-25 PPG),Above Average (2-4 VORP),1,1,1,0,2024
LaMelo Ball,2024-25,CHO,PG,23.0,47.0,47.0,100.0,,35147000.0,"$35,147,000",37.0,32.0,25.2,4.9,7.4,1.1,0.3,3.6,3.3,0.405,0.339,0.843,0.494,3.8,11.2,1184.0,232.0,346.0,54.0,13.0,19.1,0.536,35.9,3.3,13.4,8.2,43.8,1.8,0.8,13.1,0.9,1.1,2.0,0.065,4.1,-0.9,3.2,2.0,0.72,17573500.0,17573500.0,Top 50,Elite Scorer (25+ PPG),Above Average (2-4 VORP),0,0,0,0,2024
Tyrese Maxey,2024-25,PHI,PG,24.0,52.0,52.0,100.0,CPOY-10,35147000.0,"$35,147,000",37.0,37.7,26.3,3.3,6.1,1.8,0.4,2.4,2.2,0.437,0.337,0.879,0.511,3.1,9.2,1369.0,174.0,317.0,91.0,21.0,19.5,0.562,29.8,0.8,9.6,5.0,28.0,2.3,1.1,9.2,2.9,1.0,3.8,0.094,3.2,-1.1,2.0,2.0,0.75,9249211.0,17573500.0,Top 50,Elite Scorer (25+ PPG),Above Average (2-4 VORP),0,0,0,0,2024
