player_name,current_season,current_team,current_age,current_salary,current_salary_formatted,current_salary_rank,current_games,current_ppg,current_rpg,current_apg,current_PER,current_TS_pct,current_WS,current_VORP,current_BPM,previous_season,previous_team,previous_salary,previous_salary_rank,previous_games,previous_ppg,previous_rpg,previous_apg,previous_PER,previous_TS_pct,previous_WS,previous_VORP,previous_BPM,salary_change,salary_change_pct,ppg_change,rpg_change,apg_change,vorp_change,ws_change,performance_trend,impact_trend,season_year
Luguentz Dort,2024-25,OKC,25.0,17000000.0,"$17,000,000",101.0,71.0,10.1,4.1,1.6,11.3,0.586,5.6,1.2,0.2,2023-24,OKC,15277778.0,108.0,79.0,10.9,3.6,1.4,11.1,0.593,4.6,0.2,-1.6,1722222.0,11.3,-0.8,0.5,0.2,1.0,1.0,Declined,Improving,2024
Isaiah Stewart,2024-25,DET,23.0,15000000.0,"$15,000,000",112.0,72.0,6.0,5.5,1.7,14.6,0.616,4.3,0.9,0.6,2023-24,DET,5266713.0,235.0,46.0,10.9,6.6,1.6,11.3,0.6,1.7,-0.1,-2.3,9733287.0,184.8,-4.9,-1.1,0.1,1.0,2.6,Significantly Declined,Improving,2024
David Roddy,2024-25,ATL,23.0,2847240.0,"$2,847,240",328.0,27.0,4.5,2.6,1.1,11.8,0.594,0.5,0.1,-1.2,2023-24,MEM,2718240.0,339.0,48.0,8.4,4.2,1.6,8.7,0.485,0.1,-0.8,-5.0,129000.0,4.7,-3.9,-1.6,-0.5,0.9,0.4,Significantly Declined,Improving,2024
Nicolas Batum,2024-25,LAC,36.0,4668000.0,"$4,668,000",254.0,78.0,4.0,2.8,1.1,10.3,0.633,3.5,1.0,0.8,2023-24,LAC,11710818.0,134.0,3.0,2.7,2.3,1.7,9.8,0.5,0.1,0.1,2.8,-7042818.0,-60.1,1.3,0.5,-0.6,0.9,3.4,Improved,Improving,2024
Daniel Gafford,2024-25,DAL,26.0,13394160.0,"$13,394,160",119.0,57.0,12.3,6.8,1.4,24.7,0.716,5.9,1.8,3.8,2023-24,WAS,12402000.0,125.0,45.0,10.9,8.0,1.5,19.9,0.707,4.4,0.9,0.9,992160.0,8.0,1.4,-1.2,-0.1,0.9,1.5,Improved,Improving,2024
David Roddy,2024-25,3TM,23.0,2847240.0,"$2,847,240",328.0,33.0,4.6,2.5,1.1,11.9,0.561,0.5,0.1,-1.5,2023-24,MEM,2718240.0,339.0,48.0,8.4,4.2,1.6,8.7,0.485,0.1,-0.8,-5.0,129000.0,4.7,-3.8,-1.7,-0.5,0.9,0.4,Significantly Declined,Improving,2024
Jake LaRavia,2024-25,MEM,23.0,3352680.0,"$3,352,680",289.0,47.0,7.3,4.4,2.8,13.5,0.605,2.4,0.8,1.3,2023-24,MEM,3199920.0,297.0,35.0,10.8,3.7,1.7,12.6,0.54,1.0,-0.1,-2.5,152760.0,4.8,-3.5,0.7,1.1,0.9,1.4,Significantly Declined,Improving,2024
Josh Giddey,2024-25,CHI,22.0,8352367.0,"$8,352,367",189.0,70.0,14.6,8.1,7.2,18.1,0.57,5.3,2.7,3.0,2023-24,OKC,6587040.0,210.0,80.0,12.3,6.4,4.8,16.6,0.547,4.3,1.8,1.5,1765327.0,26.8,2.3,1.7,2.4,0.9,1.0,Significantly Improved,Improving,2024
Jake LaRavia,2024-25,2TM,23.0,3352680.0,"$3,352,680",289.0,66.0,6.9,3.9,2.4,12.6,0.591,2.9,0.8,0.2,2023-24,MEM,3199920.0,297.0,35.0,10.8,3.7,1.7,12.6,0.54,1.0,-0.1,-2.5,152760.0,4.8,-3.9,0.2,0.7,0.9,1.9,Significantly Declined,Improving,2024
Anthony Edwards,2024-25,MIN,23.0,42176400.0,"$42,176,400",21.0,79.0,27.6,5.7,4.5,20.1,0.595,8.4,4.6,4.3,2023-24,MIN,13534817.0,115.0,79.0,25.9,5.4,5.1,19.7,0.575,7.5,3.7,3.3,28641583.0,211.6,1.7,0.3,-0.6,0.9,0.9,Improved,Improving,2024
